area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Built-up  Area,Ready To Move,4 BHK,Pride S,2439,5,2,170,Mundhawa
Super built-up  Area,Ready To Move,2 BHK,InhtsHe,1088,2,2,43.5,Nagar Road
Super built-up  Area,Ready To Move,2 BHK,Prncyrn,1174,2,1,78,Nana Peth
Super built-up  Area,18-Dec,3 BHK,Prllsan,1587,3,1,73.8,Narayan Peth
Built-up  Area,Ready To Move,2 BHK,,1045,2,2,55,Narayangaon
Super built-up  Area,Ready To Move,2 BHK,Prensya,1304,2,1,69.97,Navi Peth
Super built-up  Area,Ready To Move,2 BHK,DSe 2ie,1100,2,2,65,Padmavati
Super built-up  Area,18-May,3 BHK,Puachal,1482,2,1,68.9,Parvati Darshan
Built-up  Area,18-Mar,3 Bedroom,,2125,3,1,107,Pashan
Super built-up  Area,Ready To Move,5 BHK,,1000,4,0,65,Paud Road
Super built-up  Area,Ready To Move,2 BHK,,1194,2,2,45,Pirangut
Super built-up  Area,Ready To Move,2 BHK,Sravema,1200,2,3,42,Prabhat Road
Super built-up  Area,Ready To Move,2 BHK,PSterAs,1070,2,2,32.99,Pune Railway Station
Super built-up  Area,Ready To Move,2 BHK,Bhentne,1100,2,1,46.5,Rasta Peth
Built-up  Area,Ready To Move,3 BHK,Hoensti,1270,2,2,65,Raviwar Peth
Super built-up  Area,Ready To Move,2 BHK,,1000,2,1,31,Sadashiv Peth
Super built-up  Area,Ready To Move,2 BHK,Prlla C,1246,2,1,69,Sahakar Nagar
Super built-up  Area,Ready To Move,3 BHK,GrrvaGr,1529,3,3,51.77,Salunke Vihar
Super built-up  Area,Ready To Move,2 BHK,MenueNo,1185,2,2,42,Sasson Road
Super built-up  Area,Ready To Move,2 BHK,,1060,2,1,46,Satara Road
Super built-up  Area,Ready To Move,3 BHK,Patri M,1319,3,1,37.75,Senapati Bapat Road
Super built-up  Area,Ready To Move,2 BHK,Srsica ,991,2,0,64,Shaniwar Peth
Super built-up  Area,Ready To Move,1 BHK,Pronyt ,662,1,0,38,Shivaji Nagar
Built-up  Area,Ready To Move,2 Bedroom,,1200,2,1,110,Shukrawar Peth
Plot  Area,18-Apr,3 Bedroom,,1400,2,1,78,Sinhagad Road
Super built-up  Area,Ready To Move,3 BHK,,1575,3,2,80,Somwar Peth
Plot  Area,Ready To Move,2 Bedroom,,600,2,0,65,Swargate
Plot  Area,Ready To Move,5 Bedroom,,717,5,1,78,Tilak Road
Super built-up  Area,Ready To Move,3 BHK,Patri M,1319,3,1,42,Uruli Devachi
Plot  Area,Ready To Move,3 Bedroom,Sotus L,2000,3,2,300,Vadgaon Budruk
Plot  Area,Ready To Move,3 Bedroom,,600,3,2,85,Wadgaon Sheri
Super built-up  Area,Ready To Move,2 BHK,,940,2,1,48,Viman Nagar
Built-up  Area,Ready To Move,1 Bedroom,,600,1,0,45,Vishrant Wadi
Super built-up  Area,18-Sep,2 BHK,SunceEs,985,2,1,25.12,Wagholi
Plot  Area,Ready To Move,2 Bedroom,,500,1,0,55,Wakadewadi
Super built-up  Area,Ready To Move,2 BHK,ReudePr,1349,2,2,56.7,Wanowrie
Built-up  Area,18-Jun,3 Bedroom,,3117,3,2,261,Warje
Super built-up  Area,Ready To Move,3 BHK,SrisePo,1844,3,3,95,Yerawada
Super built-up  Area,Ready To Move,3 BHK,Prtanha,1830,4,2,150,Alandi Road
Super built-up  Area,Ready To Move,3 BHK,Adeatlm,2275,4,2,185,Ambegaon Budruk
Super built-up  Area,18-Jul,4 BHK,Mamespa,1791 - 4000,,,246,Anandnagar
Super built-up  Area,18-Aug,2 BHK,,1140,2,2,49.11,Aundh
Plot  Area,Ready To Move,3 Bedroom,,900,3,1,79,Aundh Road
Super built-up  Area,Ready To Move,3 BHK,Nehalri,2648,3,3,238,Balaji Nagar
Plot  Area,Ready To Move,5 Bedroom,,5400,4,,700,Baner
Super built-up  Area,Ready To Move,3 BHK,,1372,2,2,48.02,Baner road
Built-up  Area,Ready To Move,3 BHK,Hoxiaa ,1455,2,1,45,Bhandarkar Road
Super built-up  Area,Ready To Move,2 BHK,,1100,2,2,38,Bhavani Peth
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1295,2,1,55.47,Bibvewadi
Super built-up  Area,22-Jan,3 BHK,,1475,3,1,80,Bopodi
Super built-up  Area,18-Apr,3 BHK,PuonsSe,1788,3,1,164,Budhwar Peth
Super built-up  Area,Ready To Move,2 BHK,RInceeg,1243,2,1,46,Bund Garden Road
Super built-up  Area,Ready To Move,3 BHK,Goandn ,1855,3,3,140,Camp
Super built-up  Area,18-Aug,3 BHK,Sanzaat,1850,3,2,120,Chandan Nagar
Super built-up  Area,Ready To Move,3 BHK,Cilip J,1315,2,2,60,Dapodi
Super built-up  Area,18-May,2 BHK,Prtates,1216,2,1,73,Deccan Gymkhana
Super built-up  Area,Ready To Move,3 BHK,Soosea ,1721,3,2,93,Dehu Road
Super built-up  Area,17-Nov,2 BHK,Skacak ,1059,2,1,62,Dhankawadi
Built-up  Area,Ready To Move,2 BHK,Skesta ,1184,2,1,55,Dhayari Phata
Plot  Area,Ready To Move,7 Bedroom,,1400,5,2,175,Dhole Patil Road
Super built-up  Area,Ready To Move,3 BHK,Proodt ,2223,3,2,300,Erandwane
Built-up  Area,Ready To Move,3 BHK,KSideas,1480,3,2,75,Fatima Nagar
Super built-up  Area,Ready To Move,2 BHK,Raellil,635,1,1,28,Fergusson College Road
Plot  Area,Ready To Move,2 Bedroom,,2400,2,1,228,Ganesh Peth
Built-up  Area,Ready To Move,4 Bedroom,,1500,2,0,87,Ganeshkhind
Super built-up  Area,18-May,2 BHK,SStusan,1143,2,1,34.2,Ghorpade Peth
Plot  Area,Ready To Move,4 Bedroom,,3200,4,1,350,Ghorpadi
Plot  Area,20-Jul,4 Bedroom,,3170,4,3,250,Gokhale Nagar
Built-up  Area,Ready To Move,4 Bedroom,Prsisge,4800,4,3,420,Gultekdi
Super built-up  Area,Ready To Move,3 BHK,,1485,2,2,59.4,Guruwar peth
Super built-up  Area,Ready To Move,3 BHK,Brway G,1640,3,2,251,Hadapsar
Super built-up  Area,Ready To Move,3 BHK,,1655,2,1,70.5,Hadapsar Industrial Estate
Super built-up  Area,22-Jun,2 BHK,,900,2,2,41,Hingne Khurd
Super built-up  Area,Ready To Move,3 BHK,,1600,3,3,69,Jangali Maharaj Road
Built-up  Area,Ready To Move,2 BHK,,1163,2,2,68,Kalyani Nagar
Carpet  Area,Ready To Move,1 BHK,KHatsFl,45.06Sq. Meter,2,1,18,Karve Nagar
Super built-up  Area,Ready To Move,3 BHK,ChionCo,1654,3,,97.8,Karve Road
Super built-up  Area,18-Apr,1 BHK,Asarkia,799 - 803,1,0,33.645,Kasba Peth
Built-up  Area,Ready To Move,4 Bedroom,,2100,3,1,1000,Katraj
Super built-up  Area,18-Jan,3 BHK,NiCodCa,1685,3,3,101,Khadaki
Built-up  Area,Ready To Move,3 BHK,Sksia A,1540,3,3,80,Khadki
Super built-up  Area,18-Jan,2 BHK,Bhmesy ,1265,2,1,72,Kharadi
Super built-up  Area,Ready To Move,3 BHK,,1200,2,3,38.4,Kondhwa
Built-up  Area,Ready To Move,3 BHK,SuodsAc,1300,2,1,80,Kondhwa Budruk
Super built-up  Area,Ready To Move,2 BHK,Vaaldak,1009,2,1,65,Kondhwa Khurd
Super built-up  Area,Ready To Move,3 BHK,,1540,3,2,65,Koregaon Park
Built-up  Area,Ready To Move,3 BHK,,1735,3,3,105,Kothrud
Plot  Area,Ready To Move,4 Bedroom,,2500,4,3,300,Law College Road
Super built-up  Area,Ready To Move,2 BHK,Asara S,497,1,1,20,Laxmi Road
Super built-up  Area,Ready To Move,3 BHK,Taonte ,2480,4,1,265,Lulla Nagar
Built-up  Area,Ready To Move,2 BHK,VHistal,1142,2,0,35,Mahatma Gandhi Road
Super built-up  Area,18-May,3 BHK,,1215,2,2,46.8,Mangalwar peth
Super built-up  Area,Ready To Move,2 BHK,GMown E,1070,2,1,48,Manik Bagh
Super built-up  Area,18-May,2 BHK,Sryalan,1125,2,1,32.49,Market yard
Built-up  Area,18-Jul,2 BHK,,1125,2,1,32.49,Model colony
Super built-up  Area,Ready To Move,2 BHK,Doissa ,1575,2,3,85,Mukund Nagar
Super built-up  Area,18-Dec,2 BHK,SJerse ,1360,2,1,77.61,Mundhawa
Super built-up  Area,Ready To Move,3 BHK,,1710,3,2,85,Nagar Road
Super built-up  Area,18-May,2 BHK,Sryalan,1200,2,1,34.65,Nana Peth
Super built-up  Area,Ready To Move,4 BHK,SNity S,2185,3,3,120,Narayan Peth
Built-up  Area,Ready To Move,4 BHK,Krton S,2400,4,3,135,Narayangaon
Super built-up  Area,Ready To Move,2 BHK,,1195,2,1,35.84,Navi Peth
Super built-up  Area,Ready To Move,2 BHK,Prlla C,1246,2,1,67,Padmavati
Super built-up  Area,Ready To Move,2 BHK,Gundaa ,1012,2,1,45,Parvati Darshan
Super built-up  Area,Ready To Move,2 BHK,,998,2,2,65,Pashan
Plot  Area,Ready To Move,3 Bedroom,,2400,3,1,250,Paud Road
Super built-up  Area,Ready To Move,2 BHK,Brnia G,1130,2,2,85,Pirangut
Super built-up  Area,Ready To Move,3 BHK,Proodt ,1744,4,1,210,Prabhat Road
Super built-up  Area,18-Jul,4 BHK,ProdsWe,2733,5,2,259,Pune Railway Station
Super built-up  Area,Ready To Move,3 BHK,Ajnue A,1354,2,1,98,Rasta Peth
Plot  Area,Ready To Move,10 Bedroom,,3300,9,,450,Raviwar Peth
Super built-up  Area,Ready To Move,2 BHK,Stlomg ,1389,2,2,94,Sadashiv Peth
Plot  Area,Ready To Move,4 Bedroom,Puodsm ,2970,3,3,130,Sahakar Nagar
Super built-up  Area,Ready To Move,3 BHK,Sagalhi,2560,4,,310,Salunke Vihar
Super built-up  Area,Ready To Move,2 BHK,,1172,2,2,75,Sasson Road
Plot  Area,Ready To Move,3 Bedroom,,500,2,1,75,Satara Road
Super built-up  Area,Ready To Move,3 BHK,,1495,3,2,60,Senapati Bapat Road
Super built-up  Area,Ready To Move,2 BHK,DSingSt,1738,2,1,57.35,Shaniwar Peth
Super built-up  Area,Ready To Move,2 BHK,,1315,2,2,50,Shivaji Nagar
Super built-up  Area,Ready To Move,2 BHK,Xeitaa ,1270,2,3,73,Shukrawar Peth
Super built-up  Area,18-May,2 BHK,SNbay G,1160,2,1,52.2,Sinhagad Road
Super built-up  Area,Ready To Move,3 BHK,,1450,2,1,67,Somwar Peth
Built-up  Area,Ready To Move,1 BHK,,470,1,1,21,Swargate
Built-up  Area,Ready To Move,2 BHK,,1040,2,2,78,Tilak Road
Super built-up  Area,Ready To Move,2 BHK,,1205,2,2,29,Uruli Devachi
Super built-up  Area,Ready To Move,3 BHK,,1215,2,3,50,Vadgaon Budruk
Super built-up  Area,Ready To Move,2 BHK,Maoma P,1135,2,2,58,Wadgaon Sheri
Super built-up  Area,Ready To Move,3 BHK,MBodsen,1224,2,2,48.95,Viman Nagar
Built-up  Area,Ready To Move,1 BHK,PrityTr,664,1,1,34,Vishrant Wadi
Super built-up  Area,Ready To Move,3 BHK,Itvir M,1160,2,2,42,Wagholi
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,105,Wakadewadi
Built-up  Area,18-Aug,3 BHK,,1220,2,1,35.2,Wanowrie
Super built-up  Area,Ready To Move,2 BHK,FoapeWa,1328,2,2,69,Warje
Super built-up  Area,Ready To Move,2 BHK,Raave E,975,2,2,45,Yerawada
Built-up  Area,Ready To Move,3 BHK,RMcesa ,1907,2,1,200,Alandi Road
Built-up  Area,Ready To Move,2 BHK,Beesta ,900,2,1,72,Ambegaon Budruk
Super built-up  Area,Ready To Move,2 BHK,,1330,2,2,80,Anandnagar
Super built-up  Area,Ready To Move,4 BHK,PuoodSk,2330,5,1,175,Aundh
Built-up  Area,Ready To Move,3 BHK,JRarlPe,1222,3,2,95,Aundh Road
Plot  Area,Ready To Move,3 Bedroom,Prleaou,4446,3,2,410,Balaji Nagar
Super built-up  Area,Ready To Move,3 BHK,Ahriaup,2100,3,1,135,Baner
Super built-up  Area,Ready To Move,4 BHK,Adeatlm,3335,4,3,290,Baner road
Built-up  Area,18-Apr,3 Bedroom,Prtates,3150,3,1,290,Bhandarkar Road
Plot  Area,Ready To Move,3 Bedroom,,1320,2,1,95,Bhavani Peth
Plot  Area,Ready To Move,7 Bedroom,,820,7,3,140,Bibvewadi
Plot  Area,Ready To Move,5 Bedroom,,8000,5,3,550,Bopodi
Plot  Area,Ready To Move,4 Bedroom,,2400,5,3,500,Budhwar Peth
Super built-up  Area,Ready To Move,3 BHK,SLnssPr,1330,2,2,46.55,Bund Garden Road
Plot  Area,Ready To Move,4 Bedroom,KrineAq,2000,4,1,130,Camp
Super built-up  Area,18-Jun,2 BHK,Coomee ,1244,2,1,55,Chandan Nagar
Super built-up  Area,Ready To Move,2 BHK,EsadeNS,1000,2,1,50,Dapodi
Super built-up  Area,18-May,3 BHK,,1400,3,2,45,Deccan Gymkhana
Super built-up  Area,Ready To Move,2 BHK,Phens G,1000,2,2,35,Dehu Road
Plot  Area,Ready To Move,2 Bedroom,,1056,1,0,250,Dhankawadi
Super built-up  Area,Ready To Move,3 BHK,,1250,2,2,50,Dhayari Phata
Super built-up  Area,19-Jun,4 BHK,Raard B,2470 - 2790,5,0,188,Dhole Patil Road
Super built-up  Area,18-Aug,2 BHK,,1225,2,2,48,Erandwane
Super built-up  Area,19-Jun,4 BHK,Raard B,2790,5,3,198,Fatima Nagar
Super built-up  Area,Ready To Move,4 BHK,,2800,4,3,365,Fergusson College Road
Super built-up  Area,Ready To Move,3 BHK,Niowshi,1683,3,3,80,Ganesh Peth
Built-up  Area,Ready To Move,2 BHK,AdniaSk,1250,2,2,54,Ganeshkhind
Super built-up  Area,Ready To Move,3 BHK,Maity W,1305,2,1,110,Ghorpade Peth
Plot  Area,Ready To Move,3 Bedroom,,3009,3,1,331,Ghorpadi
Super built-up  Area,Ready To Move,3 BHK,Baowsig,1150,2,1,57.5,Gokhale Nagar
Built-up  Area,Ready To Move,3 BHK,Clsto C,1654,3,3,70,Gultekdi
Carpet  Area,Ready To Move,4 BHK,Trntska,4500,3,0,225,Guruwar peth
Super built-up  Area,18-May,3 BHK,Alestrb,1890,4,3,125,Hadapsar
Super built-up  Area,Ready To Move,2 BHK,,1069,2,2,55,Hadapsar Industrial Estate
Super built-up  Area,Ready To Move,2 BHK,KHityry,750,1,1,18.5,Hingne Khurd
Plot  Area,Ready To Move,4 Bedroom,,675,4,0,140,Jangali Maharaj Road
Built-up  Area,17-Dec,3 Bedroom,,2400,3,1,177,Kalyani Nagar
Plot  Area,Ready To Move,5 Bedroom,,1200,4,2,240,Karve Nagar
Plot  Area,Ready To Move,4 Bedroom,,1410,2,0,280,Karve Road
Super built-up  Area,Ready To Move,3 BHK,Eladero,1680,3,3,130,Kasba Peth
Super built-up  Area,Ready To Move,3 BHK,,3500,4,2,500,Katraj
Super built-up  Area,18-Jul,3 BHK,PualeSk,1700,3,2,93.5,Khadaki
Plot  Area,Ready To Move,4 Bedroom,,2200,2,0,150,Khadki
Super built-up  Area,Ready To Move,3 BHK,Bhmesy ,1595,3,1,105,Kharadi
Super built-up  Area,15-Nov,3 BHK,,1480,3,,100,Kondhwa
Plot  Area,Ready To Move,3 Bedroom,,1092,3,1,95,Kondhwa Budruk
Super built-up  Area,19-Sep,3 BHK,Prood P,1866,4,2,245,Kondhwa Khurd
Super built-up  Area,Ready To Move,3 BHK,RMudeat,3895,3,2,390,Koregaon Park
Super built-up  Area,Ready To Move,3 BHK,,1683,3,2,115,Kothrud
Super built-up  Area,Ready To Move,2 BHK,Tavenew,545,2,1,22.34,Law College Road
Super built-up  Area,Ready To Move,2 BHK,,1340,2,2,73,Laxmi Road
Built-up  Area,21-Dec,3 BHK,,1100,3,2,53,Lulla Nagar
Plot  Area,Ready To Move,1 Bedroom,,2000,1,0,200,Mahatma Gandhi Road
Super built-up  Area,Ready To Move,2 BHK,Sriffhi,1185,2,2,56,Mangalwar peth
Super built-up  Area,18-Aug,2 BHK,SuVue S,1025,2,2,27.68,Manik Bagh
Super built-up  Area,Ready To Move,3 BHK,DSimaUl,1730,3,1,95,Market yard
Super built-up  Area,19-Sep,3 BHK,Orens G,1450,3,1,88.6,Model colony
Super built-up  Area,Ready To Move,3 BHK,Ceiti I,1862,4,1,110,Mukund Nagar
Plot  Area,Ready To Move,4 Bedroom,Adeatlm,4000,5,1,578,Mundhawa
Built-up  Area,Ready To Move,3 BHK,Brica E,2430,5,2,180,Nagar Road
Super built-up  Area,20-Sep,1 BHK,Ranuetz,783 - 943,1,0,40.55,Nana Peth
Super built-up  Area,Ready To Move,2 BHK,,1170,2,3,50,Narayan Peth
Super built-up  Area,Ready To Move,2 BHK,Prionve,1075,2,2,50,Narayangaon
Super built-up  Area,Ready To Move,2 BHK,Niiewin,1060,2,1,34,Navi Peth
Super built-up  Area,17-Jun,2 BHK,,850,2,2,32,Padmavati
Super built-up  Area,Ready To Move,2 BHK,Sashaa ,935,2,1,45.9,Parvati Darshan
Built-up  Area,Ready To Move,4 BHK,Mauner ,1905,3,,86,Pashan
Built-up  Area,Ready To Move,6 Bedroom,,2000,6,3,300,Paud Road
Super built-up  Area,Ready To Move,2 BHK,Aklia R,1125,2,1,47,Pirangut
Plot  Area,Ready To Move,6 Bedroom,,600,6,2,75,Prabhat Road
Built-up  Area,Ready To Move,4 Bedroom,,1500,4,1,105,Pune Railway Station
Built-up  Area,Ready To Move,3 BHK,Malmser,1725,3,3,85,Rasta Peth
Super built-up  Area,Ready To Move,2 BHK,,1120,2,3,36,Raviwar Peth
Super built-up  Area,Ready To Move,3 BHK,Vaontos,1750,2,2,75,Sadashiv Peth
Super built-up  Area,18-Jul,3 BHK,,2000,3,2,77,Sahakar Nagar
Built-up  Area,Ready To Move,3 BHK,Saa 2Ai,1745,3,3,98,Salunke Vihar
Plot  Area,Ready To Move,5 Bedroom,,750,3,1,95,Sasson Road
Super built-up  Area,Ready To Move,3 BHK,Ayaya A,1270,2,2,55.25,Satara Road
Super built-up  Area,Ready To Move,5 BHK,Emine P,5384,5,3,420,Senapati Bapat Road
Super built-up  Area,Ready To Move,2 BHK,NCensun,1180,2,2,72,Shaniwar Peth
Built-up  Area,Ready To Move,2 BHK,SwionMa,1130,2,1,75,Shivaji Nagar
Super built-up  Area,18-Dec,4 BHK,Jaades ,2774,4,3,197,Shukrawar Peth
Super built-up  Area,Ready To Move,3 BHK,SoystAm,1723,3,2,95,Sinhagad Road
Built-up  Area,Ready To Move,2 BHK,PrntaEn,1175,2,2,70.5,Somwar Peth
Super built-up  Area,Ready To Move,3 BHK,Dimes E,1607,2,2,112,Swargate
Built-up  Area,18-May,2 BHK,Ocuil T,1334,2,1,62,Tilak Road
Built-up  Area,Ready To Move,5 Bedroom,,2800,5,3,130,Uruli Devachi
Super built-up  Area,19-Mar,3 BHK,NiCodCa,1138,3,2,128,Vadgaon Budruk
Super built-up  Area,19-Dec,2 BHK,,1113,2,1,70,Wadgaon Sheri
Built-up  Area,Ready To Move,3 BHK,NaensGa,1300,2,2,58,Viman Nagar
Plot  Area,Ready To Move,4 Bedroom,,2400,4,,350,Vishrant Wadi
Built-up  Area,Ready To Move,2 BHK,,1200,2,2,60,Wagholi
Super built-up  Area,Ready To Move,3 BHK,,1900,3,2,190,Wakadewadi
Super built-up  Area,Ready To Move,4 BHK,Lecco C,5150,4,3,559,Wanowrie
Plot  Area,Ready To Move,5 Bedroom,,1200,5,,290,Warje
Super built-up  Area,18-Dec,4 BHK,Goted U,2956,5,,234,Yerawada
Plot  Area,Ready To Move,5 Bedroom,,1100,5,1,165,Alandi Road
Super built-up  Area,18-May,2 BHK,Prcesvy,1398,2,1,97,Ambegaon Budruk
Plot  Area,Ready To Move,2 Bedroom,,1152,1,0,66,Anandnagar
Plot  Area,Ready To Move,4 Bedroom,,1200,5,,325,Aundh
Super built-up  Area,Ready To Move,2 BHK,,1110,2,2,44.95,Aundh Road
Built-up  Area,Ready To Move,2 BHK,Sarch M,1116,2,1,47,Balaji Nagar
Super built-up  Area,Ready To Move,2 BHK,ARngsd ,1061,2,1,33.84,Baner
Super built-up  Area,Ready To Move,1 BHK,,620,1,1,86.8,Baner road
Super built-up  Area,Ready To Move,3 BHK,,1300,2,2,52,Bhandarkar Road
Built-up  Area,Ready To Move,2 BHK,Shana S,1270,2,2,57,Bhavani Peth
Super built-up  Area,18-Apr,2 BHK,,966,2,2,50,Bibvewadi
Plot  Area,Ready To Move,4 Bedroom,,1200,4,1,110,Bopodi
Plot  Area,Ready To Move,4 Bedroom,,1320,4,3,249,Budhwar Peth
Super built-up  Area,Ready To Move,4 BHK,Emine P,3596,5,1,297,Bund Garden Road
Super built-up  Area,18-May,3 BHK,,1630,3,2,131,Camp
Super built-up  Area,Ready To Move,5 BHK,,600,6,3,72,Chandan Nagar
Plot  Area,Ready To Move,4 Bedroom,,600,4,2,60,Dapodi
Super built-up  Area,Ready To Move,2 BHK,Veiewak,1202,2,1,65,Deccan Gymkhana
Plot  Area,Ready To Move,4 Bedroom,,1200,4,2,250,Dehu Road
Built-up  Area,Ready To Move,2 BHK,,1300,2,2,80,Dhankawadi
Plot  Area,Ready To Move,6 Bedroom,,1200,6,2,330,Dhayari Phata
Super built-up  Area,Ready To Move,3 BHK,GMown E,1360,2,1,70,Dhole Patil Road
Super built-up  Area,Ready To Move,2 BHK,Mileeou,1155,2,1,69.18,Erandwane
Super built-up  Area,Ready To Move,3 BHK,Taonte ,2378,3,1,310,Fatima Nagar
Super built-up  Area,Ready To Move,2 BHK,MBrrySt,1011,2,2,38,Fergusson College Road
Built-up  Area,Ready To Move,2 BHK,VaiewV ,1203,2,2,72,Ganesh Peth
Super built-up  Area,19-Dec,3 BHK,Raard B,1645,3,2,113,Ganeshkhind
Super built-up  Area,Ready To Move,3 BHK,Honcyju,1364,2,3,50,Ghorpade Peth
Plot  Area,19-Jan,2 Bedroom,,1200,1,1,36,Ghorpadi
Built-up  Area,Ready To Move,1 BHK,,1050,2,2,41,Gokhale Nagar
Super built-up  Area,Ready To Move,3 BHK,,1365,3,3,66,Gultekdi
Super built-up  Area,Ready To Move,3 BHK,DLhtsen,1252,3,3,70,Guruwar peth
Super built-up  Area,Ready To Move,3 BHK,DLhtsan,1221,3,2,65,Hadapsar
Built-up  Area,Ready To Move,2 BHK,,1065,2,1,58,Hadapsar Industrial Estate
Super built-up  Area,Ready To Move,3 BHK,Ayaya A,1270,2,1,55.25,Hingne Khurd
Built-up  Area,Ready To Move,2 BHK,KVersuj,1032,2,2,45,Jangali Maharaj Road
Super built-up  Area,Ready To Move,4 BHK,,2900,4,2,325,Kalyani Nagar
Super built-up  Area,Ready To Move,3 BHK,NDivaOl,1515,2,3,69,Karve Nagar
Super built-up  Area,Ready To Move,2 BHK,Daganva,1427,2,2,52,Karve Road
Super built-up  Area,Ready To Move,2 BHK,,940,2,2,50,Kasba Peth
Plot  Area,18-Mar,5 Bedroom,,800,5,1,95,Katraj
Super built-up  Area,Ready To Move,3 BHK,SNity S,1460,2,2,80,Khadaki
Super built-up  Area,Ready To Move,3 BHK,Adeatlm,2275,4,2,175,Khadki
Super built-up  Area,21-Sep,3 BHK,Vasisvi,1522,3,2,90,Kharadi
Plot  Area,19-Jan,3 Bedroom,,3210,4,2,380,Kondhwa
Super built-up  Area,Ready To Move,2 BHK,MenueNo,1185,2,2,42.67,Kondhwa Budruk
Super built-up  Area,Ready To Move,13 BHK,,5425,13,0,275,Kondhwa Khurd
Built-up  Area,Ready To Move,3 BHK,Bregae ,1800,3,2,125,Koregaon Park
Super built-up  Area,17-May,2 BHK,,940,2,1,44,Kothrud
Plot  Area,Ready To Move,4 Bedroom,,1200,4,2,135,Law College Road
Super built-up  Area,Ready To Move,3 BHK,,1530,3,2,71,Laxmi Road
Built-up  Area,Ready To Move,2 BHK,Viine P,1050,2,1,48,Lulla Nagar
Super built-up  Area,Ready To Move,2 BHK,Prldsri,929,2,2,49,Mahatma Gandhi Road
Built-up  Area,Ready To Move,4 Bedroom,,3750,5,3,145,Mangalwar peth
Super built-up  Area,Ready To Move,3 BHK,PaantPl,1530,3,3,75,Manik Bagh
Plot  Area,Ready To Move,2 Bedroom,,900,2,1,48,Market yard
Super built-up  Area,Ready To Move,2 BHK,,978,2,1,34.22,Model colony
Built-up  Area,Ready To Move,4 BHK,Prowshi,4041,4,2,345,Mukund Nagar
Super built-up  Area,Ready To Move,1 BHK,,770,1,2,43.82,Mundhawa
Built-up  Area,Ready To Move,2 BHK,,1066,2,3,55,Nagar Road
Super built-up  Area,Ready To Move,1 BHK,Palleon,635,1,0,28,Nana Peth
Super built-up  Area,Ready To Move,2 BHK,Arria G,1015,2,1,45,Narayan Peth
Built-up  Area,Ready To Move,2 BHK,AraraSa,1175,2,0,54.05,Narayangaon
Plot  Area,Ready To Move,4 Bedroom,,1200,4,2,130,Navi Peth
Super built-up  Area,18-May,2 BHK,,1188,2,1,50,Padmavati
Plot  Area,Ready To Move,5 Bedroom,,2400,5,2,700,Parvati Darshan
Super built-up  Area,19-Oct,1 BHK,,620,1,1,25,Pashan
Built-up  Area,Ready To Move,2 BHK,Prsichi,1210,2,0,75,Paud Road
Plot  Area,18-Apr,3 Bedroom,Goe 2me,1000,3,1,90,Pirangut
Super built-up  Area,Ready To Move,3 BHK,Suavea ,1500,2,,99,Prabhat Road
Plot  Area,Ready To Move,4 Bedroom,Aroveth,1800,3,2,190,Pune Railway Station
Super built-up  Area,Ready To Move,2 BHK,MenueNo,1185,2,2,43.66,Rasta Peth
Built-up  Area,Ready To Move,3 BHK,V2lasna,1600,3,3,130,Raviwar Peth
Super built-up  Area,Ready To Move,2 BHK,,1100,2,1,28,Sadashiv Peth
Super built-up  Area,Ready To Move,2 BHK,Jatish ,1300,2,2,69.23,Sahakar Nagar
Super built-up  Area,Ready To Move,2 BHK,MSopsw ,1100,2,1,68,Salunke Vihar
Super built-up  Area,19-Apr,2 BHK,Sisice ,860,2,1,28.93,Sasson Road
Super built-up  Area,18-Jun,2 BHK,,1007,2,1,64,Satara Road
Super built-up  Area,Ready To Move,2 BHK,SagasSa,1100,2,2,48,Senapati Bapat Road
Super built-up  Area,Ready To Move,2 BHK,SMuilan,1187,2,1,38,Shaniwar Peth
Super built-up  Area,Ready To Move,2 BHK,,1150,2,2,72,Shivaji Nagar
Super built-up  Area,Ready To Move,3 BHK,Vancyat,2400,3,2,252,Shukrawar Peth
Super built-up  Area,18-Apr,2 BHK,,1180,2,3,41.94,Sinhagad Road
Super built-up  Area,Ready To Move,3 BHK,PrityTr,1820,3,2,85.2,Somwar Peth
Plot  Area,Ready To Move,6 Bedroom,,1200,6,3,180,Swargate
Plot  Area,Ready To Move,3 Bedroom,,2400,6,2,775,Tilak Road
Super built-up  Area,Ready To Move,4 BHK,,3628,4,1,246,Uruli Devachi
Built-up  Area,Ready To Move,3 BHK,KSideas,1430,3,2,70,Vadgaon Budruk
Super built-up  Area,21-Jan,2 BHK,PrarePa,700,2,1,40,Wadgaon Sheri
Plot  Area,Ready To Move,2 Bedroom,,1200,1,0,70,Viman Nagar
Super built-up  Area,20-Dec,2 BHK,Shmes O,1165,2,1,40.77,Vishrant Wadi
Super built-up  Area,Ready To Move,3 BHK,,1569,3,2,118,Wagholi
Super built-up  Area,Ready To Move,3 BHK,,1950,4,3,95,Wakadewadi
Plot  Area,Ready To Move,2 Bedroom,,1200,3,1,70,Wanowrie
Super built-up  Area,Ready To Move,3 BHK,,2437,3,2,125,Warje
Super built-up  Area,Ready To Move,2 BHK,,950,2,2,46.7,Yerawada
Built-up  Area,18-Jul,3 BHK,NiCodCa,1685,3,3,115,Alandi Road
